BHID,From,To,X,Y,Z,surface,series,id,order_series
BH2,98,99,582745.93,3639225.99,1911.5,rock2,series3,3,3
BH2,99,100,582745.95,3639225.82,1912.48,rock2,series3,3,3
BH2,100,101,582745.96,3639225.65,1913.47,rock2,series3,3,3
BH2,101,102,582745.98,3639225.47,1914.45,rock2,series3,3,3
BH2,102,103,582746.0,3639225.3,1915.44,rock2,series3,3,3
BH2,103,104,582746.02,3639225.13,1916.42,rock2,series3,3,3
BH2,104,105,582746.04,3639224.96,1917.4,rock2,series3,3,3
BH2,105,106,582746.05,3639224.78,1918.39,rock2,series3,3,3
BH2,106,107,582746.07,3639224.61,1919.37,rock2,series3,3,3
BH2,107,108,582746.09,3639224.44,1920.36,rock2,series3,3,3
BH2,108,109,582746.11,3639224.27,1921.34,rock2,series3,3,3
BH2,109,110,582746.13,3639224.09,1922.33,rock2,series3,3,3
BH2,110,111,582746.14,3639223.92,1923.31,rock2,series3,3,3
BH2,111,112,582746.16,3639223.75,1924.3,rock2,series3,3,3
BH2,112,113,582746.18,3639223.58,1925.28,rock2,series3,3,3
BH2,113,114,582746.2,3639223.4,1926.27,rock2,series3,3,3
BH2,114,115,582746.22,3639223.23,1927.25,rock2,series3,3,3
BH2,115,116,582746.24,3639223.06,1928.24,rock2,series3,3,3
BH2,116,117,582746.25,3639222.88,1929.22,rock2,series3,3,3
BH2,117,118,582746.27,3639222.71,1930.21,rock2,series3,3,3
BH2,118,119,582746.29,3639222.54,1931.19,rock2,series3,3,3
BH2,119,120,582746.31,3639222.37,1932.18,rock2,series3,3,3
BH2,120,121,582746.33,3639222.19,1933.16,rock2,series3,3,3
BH2,121,122,582746.34,3639222.02,1934.15,rock2,series3,3,3
BH2,122,123,582746.36,3639221.85,1935.13,rock2,series3,3,3
BH2,123,124,582746.38,3639221.68,1936.12,rock2,series3,3,3
BH2,124,125,582746.4,3639221.5,1937.1,rock2,series3,3,3
BH2,125,126,582746.42,3639221.33,1938.09,rock2,series3,3,3
BH2,126,127,582746.44,3639221.16,1939.07,rock2,series3,3,3
BH2,127,128,582746.45,3639220.98,1940.06,rock2,series3,3,3
BH2,128,129,582746.47,3639220.81,1941.04,rock2,series3,3,3
BH2,129,130,582746.49,3639220.64,1942.03,rock2,series3,3,3
BH2,130,131,582746.51,3639220.47,1943.01,rock2,series3,3,3
BH2,131,132,582746.53,3639220.29,1943.99,rock2,series3,3,3
BH2,132,133,582746.54,3639220.12,1944.98,rock2,series3,3,3
BH2,133,134,582746.56,3639219.95,1945.96,rock2,series3,3,3
BH2,134,135,582746.58,3639219.78,1946.95,rock2,series3,3,3
BH2,135,136,582746.6,3639219.6,1947.93,rock2,series3,3,3
BH2,136,137,582746.62,3639219.43,1948.92,rock2,series3,3,3
BH2,137,138,582746.63,3639219.26,1949.9,rock2,series3,3,3
BH2,138,139,582746.65,3639219.09,1950.89,rock2,series3,3,3
BH2,139,140,582746.67,3639218.91,1951.87,rock2,series3,3,3
